LATITUDE,LONGITUDE,utm_e,utm_n,population,count_intersections,street_length_avg,street_length_total,streets_per_node_avg,betweenness_centrality_avg,closeness_centrality_avg,clustering_coefficient_avg,street_length_total_ext,primary_length_total_ext,highway_length_total_ext,road_length_total_ext,street_oneway_length_total_ext,fraction_oneway_ext,count_roads_ext,road_lenght_avg_ext,cf,POI_Count,N_BFA,N_OtherServices,N_Retail,N_Est_Mfg,N_Est_RW,N_Est_Services,N_Est_BFA,N_Emp_Mfg,N_Emp_RW,N_Emp_Services,N_Emp_BFA,N_Emp_Tot,fis_score
-12.10316,-76.972531,285318.5307,8661259.62,14303,105,89.57231524,13794.13655,3.036036036,0.077988414,0.001133754,0.057057057,13794.13655,0,0,13794.13655,5537.92461,0.401469464,154,89.57231524,2.133329042,54,21,16,17,192,350,1002,31,88978,42332,184973,6648,342493,0.5
-12.038127,-77.026314,279407.5827,8668419.548,25082,104,94.1606941,14689.06828,3.165137615,0.074266198,0.000956242,0.059021407,12693.37587,895.9777472,1099.714666,14689.06828,8608.208071,0.67816538,156,94.1606941,3.180893846,52,29,4,19,156,169,447,9,35588,9086,141268,771,191046,0.689020464
-12.073,-77.049045,276964.2467,8664539.745,24466,129,82.4161067,17719.46294,3.697674419,0.056239223,0.001312896,0.082650425,17719.46294,0,0,17719.46294,16441.86371,0.927898535,215,82.4161067,1.985113854,112,40,33,39,27,32,148,8,6876,934,20781,3088,32377,0.512947572
-12.082957,-77.032727,278747.4222,8663446.549,24274,133,86.63044103,19405.21879,3.766917293,0.060075153,0.001182982,0.035338346,19408.40729,0,0,19408.40729,19377.58367,0.998411842,224,86.64467539,2.051884051,254,142,57,55,208,351,1448,46,70854,45107,359639,24413,560268,0.564338846
-12.1103,-77.04008,277964.1931,8660419.992,17153,133,80.75400206,16877.58643,3.466165414,0.065975139,0.001234702,0.069674185,15560.80405,1317.926049,0,16878.7301,13574.5411,0.872354735,209,80.75947414,2.101094645,116,58,37,21,316,561,2224,115,94594,59471,538304,33567,790730,0.578654276
-11.983645,-77.062899,275376.3681,8674419.97,9120,148,84.49804378,18251.57746,3.064935065,0.043880311,0.001064755,0.006493506,16338.98732,272.2886021,1640.301529,18251.57746,5215.620786,0.319213222,216,84.49804378,2.466733803,80,36,13,31,45,35,99,3,7997,696,15629,245,25071,0.18280851
-12.075441,-77.022943,279808.3122,8664295.337,25241,181,78.79319833,22613.64792,3.331550802,0.052822445,0.001001711,0.061675579,19266.81396,1750.127897,1579.245627,22596.18748,14512.05371,0.753215023,287,78.73236057,2.485007853,83,30,35,18,260,334,908,23,59679,24606,213684,4583,309321,0.5
-12.087944,-77.054682,276355.9302,8662886.498,24411,126,82.79609205,16310.83013,3.274074074,0.065171636,0.000981827,0.068888889,16144.98389,165.8462397,0,16310.83013,13192.87566,0.817150129,197,82.79609205,2.522919964,42,14,13,15,385,677,2753,81,139441,89491,735515,45506,1130217,0.628159837
-12.09054,-77.018503,280299.7581,8662628.183,15747,153,79.19772575,18294.67465,3.232258065,0.046519136,0.000986052,0.059139785,14360.36714,2178.5467,1755.760812,18294.67465,9137.384041,0.636291813,231,79.19772575,2.518487701,63,16,35,12,181,319,1300,38,63978,44173,338858,21325,527891,0.5
-12.091949,-77.008601,281378.8514,8662481.223,17684,124,92.72309356,16504.71065,3.185483871,0.065801099,0.001228427,0.052419355,16504.71065,0,0,16504.71065,7418.925369,0.44950351,178,92.72309356,1.933439782,50,19,20,11,211,401,1528,53,71468,47771,409620,22882,616396,0.598757422
-12.047523,-77.02192,279894.4309,8667383.048,24392,56,120.6194045,10373.26878,3.209677419,0.077494271,0.001032198,0.037634409,10252.06421,0,0,10252.06421,6715.220861,0.655011588,86,119.210049,2.718779694,13,1,3,9,156,169,447,9,35588,9086,141268,771,191046,0.69719767
-12.086191,-77.054357,276387.1838,8663074.839,24411,126,82.79609205,16310.83013,3.274074074,0.065171636,0.000981827,0.068888889,16144.98389,165.8462397,0,16310.83013,13192.87566,0.817150129,197,82.79609205,2.522919964,42,14,13,15,385,677,2753,81,139441,89491,735515,45506,1130217,0.628159837
-12.081162,-77.057883,276001.9116,8663625.195,24411,126,82.79609205,16310.83013,3.274074074,0.065171636,0.000981827,0.068888889,16144.98389,165.8462397,0,16310.83013,13192.87566,0.817150129,197,82.79609205,2.522919964,42,14,13,15,385,677,2753,81,139441,89491,735515,45506,1130217,0.628159837
-12.098885,-77.05143,276724.3937,8661672.113,25801,140,81.36938369,17819.89503,3.392857143,0.057861537,0.00121551,0.08547619,17819.89503,0,0,17819.89503,13535.53837,0.759574529,219,81.36938369,1.876647805,42,17,15,10,329,580,2343,118,103264,60165,577151,35988,841745,0.531578525
-12.057644,-77.096642,271767.7975,8666204.464,26421,179,83.29127256,22488.64359,3.190217391,0.061269317,0.001127704,0.04076087,18229.0206,4259.622991,0,22488.64359,4641.077683,0.254598302,270,83.29127256,2.516570823,81,43,22,16,127,42,440,7,23165,5695,80636,576,115975,0.598887916
-12.064814,-76.989791,283404.0531,8665494.534,19132,89,106.1743485,13908.83965,3.359550562,0.077721226,0.000801917,0.017977528,11408.44523,2500.394421,0,13908.83965,6362.805467,0.55772766,131,106.1743485,2.448646686,22,0,17,5,314,270,666,15,67389,35539,113718,1671,225470,0.645868215
-12.092417,-77.008853,281346.5929,8662425.663,17684,124,92.72309356,16504.71065,3.185483871,0.065801099,0.001228427,0.052419355,16504.71065,0,0,16504.71065,7418.925369,0.44950351,178,92.72309356,1.933439782,50,19,20,11,211,401,1528,53,71468,47771,409620,22882,616396,0.598757422
-12.089398,-77.00738,281507.4809,8662758.786,17684,124,92.72309356,16504.71065,3.185483871,0.065801099,0.001228427,0.052419355,16504.71065,0,0,16504.71065,7418.925369,0.44950351,178,92.72309356,1.933439782,50,19,20,11,211,401,1528,53,71468,47771,409620,22882,616396,0.598757422
-12.088413,-77.033422,278675.6416,8662848.512,24274,133,86.63044103,19405.21879,3.766917293,0.060075153,0.001182982,0.035338346,19408.40729,0,0,19408.40729,19377.58367,0.998411842,224,86.64467539,2.051884051,254,142,57,55,208,351,1448,46,70854,45107,359639,24413,560268,0.564338846
-12.060075,-77.136113,267468.2379,8665894.634,24547,181,72.47214272,21161.86567,3.387096774,0.049465209,0.001278248,0.048387097,19254.51797,1907.347699,0,21161.86567,12862.26867,0.668013018,292,72.47214272,1.702014883,37,14,7,16,113,19,332,0,20362,4403,62657,0,91888,0.5
-12.104416,-77.020763,280060.6957,8661088.409,18667,156,74.83437273,17660.91196,3.275641026,0.057160581,0.001231015,0.083974359,15005.35094,2480.35937,0,17485.71031,9629.548234,0.641740955,237,73.77936839,2.028343701,88,19,48,21,216,404,1478,42,72045,55601,401573,22251,620153,0.517014731
-12.070875,-77.059317,275840.8912,8664763.684,21747,169,75.52892731,20317.28145,3.385057471,0.0476417,0.001054464,0.048467433,20317.28145,0,0,20317.28145,16526.64331,0.813427887,269,75.52892731,2.14397944,109,51,26,32,10,20,34,2,2815,451,18952,435,23420,0.5
-12.103185,-76.972323,285340.306,8661259.777,14303,105,89.57231524,13794.13655,3.036036036,0.077988414,0.001133754,0.057057057,13794.13655,0,0,13794.13655,5537.92461,0.401469464,154,89.57231524,2.133329042,54,21,16,17,192,350,1002,31,88978,42332,184973,6648,342493,0.5
-12.106298,-77.007236,281542.9921,8660889.11,20304,128,95.27639823,17911.96287,3.3046875,0.062236361,0.001161257,0.028645833,17911.96287,0,0,17911.96287,9297.72591,0.519079119,188,95.27639823,1.825671516,22,9,8,5,246,486,1706,57,79535,59199,472335,23808,708658,0.581930414
-12.056565,-77.01507,280642.362,8666381.66,26848,106,98.07148519,16476.00951,3.594339623,0.067610063,0.001314445,0.018238994,14865.62889,973.262289,637.1183376,16476.00951,11883.32835,0.799382821,168,98.07148519,2.028163507,63,13,14,36,233,302,760,15,52803,23672,192903,1495,276944,0.670091874
-12.058371,-77.02246,279837.9827,8666176.571,27214,89,100.5073956,14071.03538,3.522222222,0.081955794,0.001125683,0.024074074,12296.54128,1774.494099,0,14071.03538,11191.61315,0.910143178,140,100.5073956,2.671898119,127,16,36,75,389,471,1207,24,88391,32758,334171,2266,467990,0.735689495
-12.050081,-77.042719,277631.3914,8667078.599,24484,136,90.12401991,18926.04418,3.335714286,0.059849263,0.001144458,0.031666667,13724.38301,5158.538326,0,18882.92134,9861.094454,0.718509127,210,89.91867303,2.61162676,66,14,20,32,156,169,447,9,35588,9086,141268,771,191046,0.561384224
-12.12836,-77.017943,280396.0832,8658435.337,32535,152,79.81594496,19714.5384,3.360759494,0.054507853,0.001327399,0.031223629,15268.94729,4307.805865,137.7852452,19714.5384,8911.693149,0.58364817,247,79.81594496,2.090014009,76,39,24,13,303,519,1744,100,113158,54318,318100,19521,525112,0.5
-12.022894,-77.055389,276225.8005,8670077.779,32361,122,93.20662835,17056.81299,3.212598425,0.069010874,0.001298469,0.028346457,15517.40723,1539.405764,0,17056.81299,4035.80064,0.26008215,183,93.20662835,2.400639581,40,19,6,15,0,0,0,0,0,0,0,0,0,0.77472722
-12.074522,-77.048544,277019.9352,8664374.187,24466,129,82.4161067,17719.46294,3.697674419,0.056239223,0.001312896,0.082650425,17719.46294,0,0,17719.46294,16441.86371,0.927898535,215,82.4161067,1.985113854,112,40,33,39,27,32,148,8,6876,934,20781,3088,32377,0.512947572
-12.061596,-77.090193,272468.1497,8665767.202,18243,59,75.91998543,6225.438806,3.081967213,0.090978976,0.002234461,0.016393443,6225.438806,0,0,6225.438806,1013.9224,0.16286762,82,75.91998543,3.259425822,10,4,5,1,14,23,108,7,2803,1292,17979,576,24087,0.64398465
-12.053976,-77.04814,277046.5389,8666642.705,24762,113,86.78346944,15013.54021,3.379310345,0.066821195,0.00112077,0.020114943,11446.43239,3567.107582,0,15013.53997,10092.61331,0.881725674,173,86.78346803,2.224885584,114,56,23,35,156,169,447,9,35588,9086,141268,771,191046,0.644276154
-12.081969,-77.031848,278844.6003,8663557.919,24274,133,86.63044103,19405.21879,3.766917293,0.060075153,0.001182982,0.035338346,19408.40729,0,0,19408.40729,19377.58367,0.998411842,224,86.64467539,2.051884051,254,142,57,55,208,351,1448,46,70854,45107,359639,24413,560268,0.564338846
-12.025673,-77.015503,280573.7033,8669800.155,5537,52,93.68922252,7120.380911,2.6875,0.113983295,0.001213182,0.109375,7120.380911,0,0,7120.380911,0,0,76,93.68922252,2.45180256,2,1,0,1,40,35,91,0,22162,1032,12518,120,35974,0.5
-12.118392,-77.022436,279897.9654,8659538.129,28248,166,70.10734747,18788.76912,3.518072289,0.052325711,0.001504557,0.011646586,17151.6743,1634.098085,0,18785.77239,12491.20852,0.728279251,268,70.09616563,1.753908598,23,11,3,9,205,412,1280,85,46750,38154,324876,14094,447363,0.5
-12.037498,-77.055159,276259.6658,8668462.543,23233,115,67.87493055,12421.11229,3.130081301,0.057869414,0.001963261,0.025745257,12421.11229,0,0,12421.11229,365.4454773,0.029421317,183,67.87493055,2.662855054,6,0,1,5,156,169,447,9,35588,9086,141268,771,191046,0.525280185
-12.02114,-77.006888,281506.6181,8670315.955,25382,195,78.89588543,23037.59854,3.196969697,0.047566727,0.001326687,0.032491582,21162.04562,1875.552927,0,23037.59854,5234.902737,0.247372245,292,78.89588543,2.258731326,21,8,4,9,40,35,91,0,22162,1032,12518,120,35974,0.5
-12.062734,-77.039266,278012.0284,8665687.253,45648,141,81.95988152,17867.25417,3.377622378,0.06188647,0.000957612,0.095337995,17553.41798,0,296.5006634,17849.91864,15893.6817,0.905446547,218,81.88036073,3.04002155,76,39,30,7,156,169,447,9,35588,9086,141268,771,191046,0.760183109
-12.062943,-77.122928,268908.1708,8665595.987,19285,154,81.15052721,19719.57811,3.156626506,0.060094703,0.001308789,0.043574297,14010.29118,5709.286934,0,19719.57811,4037.154563,0.288156364,243,81.15052721,2.207073664,35,14,11,10,113,19,332,0,20362,4403,62657,0,91888,0.552872703
-12.084195,-77.060991,275666.8499,8663290.721,24324,168,82.0744129,20928.97529,3.289017341,0.051125764,0.000937295,0.030828516,17240.09634,3878.910628,0,21119.00697,12676.89309,0.735314515,262,80.60689683,2.738743282,54,23,11,20,23,39,153,5,11485,1145,57799,2856,74435,0.5
-12.064987,-77.045659,277316.9846,8665427.579,24595,101,89.95998164,14123.71712,3.480769231,0.072214229,0.001087362,0.044871795,12936.64891,1144.60033,0,14081.24924,10951.11204,0.846518454,157,89.6894856,2.61367413,68,23,20,25,166,189,481,11,38403,9537,160220,1206,214466,0.675881053
-12.079767,-77.040219,277928.116,8663794.528,36749,112,87.27184986,15883.47668,3.589285714,0.069121475,0.001250606,0.030952381,15883.47668,0,0,15883.47668,15511.44096,0.976577186,182,87.27184986,2.096305361,174,94,47,33,183,201,595,17,42464,10020,162049,3859,223423,0.774946557
-12.040119,-76.993627,282970.3948,8668224.334,21138,194,66.59441761,18646.43693,3.147959184,0.050586809,0.00123764,0.028911565,17096.91616,0,1549.52077,18646.43693,2283.58437,0.133567033,280,66.59441761,1.890016851,20,7,4,9,28,33,116,2,14727,2928,15650,51,37314,0.5
-12.103441,-77.029946,279069.0702,8661191.704,18539,140,89.43524832,19318.01364,3.253424658,0.054230961,0.001012833,0.051369863,14669.32862,1802.188979,2846.496041,19318.01364,11502.98498,0.784152109,216,89.43524832,2.670634493,45,15,21,9,351,646,2402,119,102661,70899,601019,34493,882992,0.5
-12.058963,-77.031025,278912.8398,8666103.342,27214,89,100.5073956,14071.03538,3.522222222,0.081955794,0.001125683,0.024074074,12296.54128,1774.494099,0,14071.03538,11191.61315,0.910143178,140,100.5073956,2.671898119,127,16,36,75,389,471,1207,24,88391,32758,334171,2266,467990,0.735689495
-12.099447,-77.064521,275298.4348,8661606.047,15249,60,97.16643681,8161.980692,3.163934426,0.039696212,0.001303721,0.109289617,6548.973285,0,1613.007407,8161.980692,3184.894544,0.486319673,84,97.16643681,3.551253202,8,3,4,1,13,19,119,3,8670,694,38847,2421,51015,0.5
-12.086863,-77.061799,275581.9898,8662991.324,24324,168,82.0744129,20928.97529,3.289017341,0.051125764,0.000937295,0.030828516,17240.09634,3878.910628,0,21119.00697,12676.89309,0.735314515,262,80.60689683,2.738743282,54,23,11,20,23,39,153,5,11485,1145,57799,2856,74435,0.5
-12.111898,-76.999302,282407.6603,8660275.832,11374,203,63.72133735,19626.1719,2.986607143,0.045820113,0.000930649,0.013392857,15951.00846,3675.163445,0,19626.1719,6069.131224,0.380485738,308,63.72133735,2.101213505,45,17,8,20,227,435,1180,35,97045,53760,247688,7574,434755,0.274621775
-12.113517,-77.028087,279273.3553,8660075.671,22618,154,82.89633825,21387.25527,3.572327044,0.058136675,0.001150588,0.020545073,17112.51114,3576.71061,634.6274793,21323.84923,15948.68629,0.931989826,258,82.65057842,2.613112974,120,48,27,45,170,327,1102,81,38683,26726,262161,13168,355101,0.526396474
-12.0634,-77.122256,268973.9407,8665541.169,19285,154,81.15052721,19719.57811,3.156626506,0.060094703,0.001308789,0.043574297,14010.29118,5709.286934,0,19719.57811,4037.154563,0.288156364,243,81.15052721,2.207073664,35,14,11,10,113,19,332,0,20362,4403,62657,0,91888,0.552872703
